entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri
October 12,"""The Fox What Does the Fox Say?""",Ylvis,6,October 19,5,2013,spotify:track:5HOpkTTVcmZHnthgyxrIL8
November 2,"""Rap God""",Eminem,7,November 2,1,2013,spotify:track:6or1bKJiZ06IlK0vFvY75k
November 9,"""Demons""",Imagine Dragons,6,December 7,12,2013,spotify:track:3LlAyCYU26dvFZBDUIMb7a
November 16,"""Story of My Life"" [M]",One Direction,6,November 16,7,2013,spotify:track:4nVBt6MZDDP6tRVdQTgxJg
November 23,"""Dope""",Lady Gaga,8,November 23,1,2013,spotify:track:1gPCk3KUE83rPdz9QqGsX9
December 14,"""Say Something""",A Great Big World and Christina Aguilera,4,December 28,14,2013,spotify:track:2HB1jDQn9hCojKIr6Yfhze
December 7,"""Let Her Go""",Passenger,5,February 22,12,2014,spotify:track:1KxwZYyzWNyZSRyErj2ojT
February 1,"""Pompeii""[D]",Bastille,5,March 15,15,2014,spotify:track:0Cpi4Gj7cjpCo8LaRV4N2C
February 1,"""Team""",Lorde,6,March 15,14,2014,spotify:track:3G6hD9B2ZHOsgf4WfNu7X1
February 15,"""Happy"" #1",Pharrell Williams,1,March 8,22,2014,spotify:track:1X9NVfPMpopapXyLoZrSCD
March 8,"""All of Me"" #3",John Legend,1,May 17,23,2014,spotify:track:2xLf8ZGtLuMQ3JZiwOz4AX
March 22,"""Let It Go""[E]",Idina Menzel,5,April 5,9,2014,spotify:track:5snmD0y4G0RTLrPyGY9sOW
March 29,"""The Man""",Aloe Blacc,8,April 12,5,2014,spotify:track:2stPxcgjdSImK7Gizl8ZUN
April 12,"""Turn Down for What""",DJ Snake and Lil Jon,4,June 14,15,2014,spotify:track:6h5yOjQNDaLZ0rW2OGoXTB
May 3,"""Not a Bad Thing""",Justin Timberlake,8,May 3,6,2014,spotify:track:3nB82yGjtbQFSU0JLAwLRH
May 24,"""Aint It Fun""",Paramore,10,May 24,1,2014,spotify:track:1j8z4TTjJ1YOdoFEDwJTQa
May 31,"""Love Never Felt So Good""",Michael Jackson and Justin Timberlake,9,May 31,1,2014,spotify:track:5IqInwwsuETolsprfOFwzR
May 31,"""A Sky Full of Stars""",Coldplay,10,May 31,1,2014,spotify:track:0FDzzruyVECATHXKHFs9eJ
June 7,"""Am I Wrong""",Nico & Vinz,4,July 5,14,2014,spotify:track:1fidCEsYlaVE3pHwKCvpFZ
June 14,"""Summer""",Calvin Harris,7,July 19,9,2014,spotify:track:6YUTL4dYpB9xZO5qExPf05
June 21,"""Stay With Me""#10",Sam Smith,2,August 16,21,2014,spotify:track:3zfC9c5lgHTe1iiksMlUy9
July 19,"""Maps""[G]",Maroon 5,6,August 9,8,2014,spotify:track:3wLaaXpoQb2WQ1ZOEYa7QJ
August 9,"""Chandelier""[I]",Sia,8,August 23,8,2014,spotify:track:1Pn68ypmSwzk8L1mHMc6zy
August 16,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj",3,October 4,16,2014,spotify:track:1z3Q0Vv26kdsSc8KshjNWX
August 23,"""Boom Clap""[F] [H]",Charli XCX,8,October 4,4,2014,spotify:track:4eET4U7z9rSfvvZv5lZe6n
September 6,"""Shake It Off""",Taylor Swift,1,September 6,24,2014,spotify:track:5xTtaWoae3wi06K5WfVUUH
September 6,"""Anaconda""",Nicki Minaj,2,September 6,8,2014,spotify:track:794F99D5BQHS5ZGRXAs7I5
October 11,"""Habits Stay High""",Tove Lo,3,November 8,10,2014,spotify:track:14OxJlLdcHNpgsm4DRwDOB
October 18,"""Animals""",Maroon 5,3,November 22,14,2014,spotify:track:2bL2gyO6kBdLkNSkxXNh6x
October 25,"""Hot Boy""",Bobby Shmurda,6,November 22,6,2014,spotify:track:0rFke7eNFHbGuGJUdRgjB2
November 1,"""Dont""[J] [K]",Ed Sheeran,9,November 15,3,2014,spotify:track:2Xqm0jHnkvjzrkkVRInzUB
November 8,"""Take Me to Church""",Hozier,2,December 20,20,2014,spotify:track:1CS7Sd1u5tWkstBhpssyjP
November 29,"""Blank Space""",Taylor Swift,1,November 29,17,2014,spotify:track:1p80LdxRV74UKvL8gnD7ky
November 29,"""Im Not the Only One""",Sam Smith,5,December 27,14,2014,spotify:track:7795WJLVKJoAyVoOtCWqXN
December 13,"""The Heart Wants What It Wants""",Selena Gomez,6,December 13,1,2014,spotify:track:6wJwkMo278iWVlWl1XQ4WA
December 20,"""Lips Are Movin""",Meghan Trainor,4,December 27,12,2014,spotify:track:6gj08XDlv9Duc2fPOxUmVD
November 29,"""Jealous""[A]",Nick Jonas,7,January 24,10,2015,spotify:track:0UuuJ7U7xs5vy7mjsANFyr
December 27,"""Thinking Out Loud"" #2",Ed Sheeran,2,January 31,23,2015,spotify:track:1bNtsB6x5OTUc9Dx0lf1U0
January 31,"""Sugar"" #5",Maroon 5,2,March 28,21,2015,spotify:track:2iuZJX9X9P0GKaE93xcPjk
February 7,"""Centuries""",Fall Out Boy,10,February 7,2,2015,spotify:track:04aAxqtGp5pv12UXAg4pkq
February 21,"""Love Me like You Do""",Ellie Goulding,3,March 7,15,2015,spotify:track:0Cy7wt6IlRfBPHXXjmZbcP
February 28,"""Style""",Taylor Swift,6,March 21,9,2015,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5
March 14,"""Time of Our Lives""",Pitbull and Ne-Yo,9,March 21,4,2015,spotify:track:0peuBPX1WVjq3yY5dtR6zq
March 28,"""Lay Me Down""",Sam Smith,8,March 28,1,2015,spotify:track:0kX3Qqv8A9wrToPnqGJp33
May 9,"""Want to Want Me""",Jason Derulo,5,June 20,9,2015,spotify:track:7oGZAicScQt96OAW4AruYy
May 16,"""Nasty Freestyle""[F]",T-Wayne,9,May 16,4,2015,spotify:track:0PT7nlpo11hYYyfnBgtilT
June 20,"""Honey, Im Good""",Andy Grammer,9,June 20,3,2015,spotify:track:4MflGTO2ZTcSQ12bWcyRgI
June 27,"""Cheerleader""",Omi,1,July 25,16,2015,spotify:track:023OVLNzXhX0j7CxswUt6D
July 11,"""Cant Feel My Face""",The Weeknd,1,August 22,19,2015,spotify:track:22VdIZQfgXJea34mQxlt81
July 18,"""Fight Song""",Rachel Platten,6,August 29,9,2015,spotify:track:37f4ITSlgPX81ad2EvmVQr
August 22,"""Drag Me Down""",One Direction,3,August 22,1,2015,spotify:track:2K87XMYnUMqLcX3zvtAF4G
September 19,"""What Do You Mean?""",Justin Bieber,1,September 19,21,2015,spotify:track:4B0JvthVoAAuygILe3n4Bs
September 26,"""Photograph""",Ed Sheeran,10,September 26,1,2015,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL
October 3,"""Hotline Bling""",Drake,2,October 24,19,2015,spotify:track:0wwPcA6wtMf6HUMpIRdeP7
October 10,"""Wildest Dreams""",Taylor Swift,5,November 7,9,2015,spotify:track:1Ov37jtRQ2YNAe8HzfczkL
October 17,"""Stitches""",Shawn Mendes,4,November 7,18,2015,spotify:track:5jsw9uXEGuKyJzs0boZ1bT
November 7,"""Perfect""",One Direction,10,November 7,1,2015,spotify:track:3NLnwwAQbbFKcEcV8hDItk
November 14,"""Hello""",Adele,1,November 14,18,2015,spotify:track:62PaSfnXSMyLshYJrlTuL3
November 21,"""Focus""",Ariana Grande,7,November 21,1,2015,spotify:track:1cdzfFjEbUbgTm5nv3FgXR
November 28,"""Exs & Ohs""",Elle King,10,November 28,1,2015,spotify:track:70eDxAyAraNTiD6lx2ZEnH
November 14,"""Sorry"" #2",Justin Bieber,1,January 23,21,2016,spotify:track:4v4taAhTmIEDUZUqVgeIF9
December 5,"""Love Yourself"" [E] #1",Justin Bieber,1,February 13,24,2016,spotify:track:3qcsbSU91obxvi8fWH5gYn
December 5,"""Here""",Alessia Cara,5,February 6,11,2016,spotify:track:5zUQZjVB6bfewBXWqsP9PY
December 19,"""Same Old Love""",Selena Gomez,5,January 30,9,2016,spotify:track:1BZG99C7Co1r6QUC3zaS59
February 13,"""My House""",Flo Rida,4,March 19,11,2016,spotify:track:6Knv6wdA0luoMUuuoYi2i1
February 13,"""Hands to Myself""",Selena Gomez,7,February 13,1,2016,spotify:track:4sPgAVm1DQi7PDUjGmh54n
February 20,"""Pillowtalk""",Zayn,1,February 20,16,2016,spotify:track:0PDUDa38GO8lMxLCRc4lL1
February 20,"""Summer Sixteen""",Drake,6,February 20,1,2016,spotify:track:17Q87zeXgsAi9iQQbMu9v0
February 20,"""Me, Myself & I""",G-Eazy and Bebe Rexha,7,March 12,12,2016,spotify:track:40YcuQysJ0KlGQTeGUosTC
March 5,"""Cake by the Ocean""[C]",DNCE,9,March 12,7,2016,spotify:track:76hfruVvmfQbw0eYn1nmeC
March 19,"""Piece by Piece""",Kelly Clarkson,8,March 19,1,2016,spotify:track:3KbFtYPyVP6C7BQVgH2cCf
March 19,"""7 Years""",Lukas Graham,2,April 9,15,2016,spotify:track:5kqIPrATaCc2LqxVWzQGbk
March 26,"""I Took a Pill in Ibiza""[B]",Mike Posner,4,May 21,14,2016,spotify:track:5YtKi9jVWA2ciIQ9zFMbBH
April 2,"""Dangerous Woman""[F]",Ariana Grande,8,June 11,2,2016,spotify:track:5H7d8isXFW779pCK7lo4KT
April 9,"""No""",Meghan Trainor,3,April 16,5,2016,spotify:track:0l0CvurVUrr2w3Jj1hOVFc
May 14,"""Formation""",Beyoncé,10,May 14,1,2016,spotify:track:6g0Orsxv6glTJCt4cHsRsQ
July 2,"""Dont Mind""",Kent Jones,8,July 16,6,2016,spotify:track:27PmvZoffODNFW2p7ehZTQ
July 9,"""Ride""",Twenty One Pilots,5,September 10,13,2016,spotify:track:2Z8WuEywRWYTKe1NybPQEW
August 27,"""Heathens""",Twenty One Pilots,2,September 24,18,2016,spotify:track:6i0V12jOa3mr6uu4WYhUBr
September 10,"""Treat You Better""[K]",Shawn Mendes,6,October 8,8,2016,spotify:track:3lSjfRQk9NVgkt6rSQ5PkF
October 29,"""24K Magic""",Bruno Mars,4,December 10,15,2016,spotify:track:6b8Be6ljOzmkOmFslEb23P
November 12,"""Juju on that Beat TZ Anthem""",Zay Hilfigerrr & Zayion McCall,5,December 10,10,2016,spotify:track:6VQ1iGUwAyFugBI73h1iqs
December 31,"""Deja Vu""",J. Cole,7,December 31,1,2016,spotify:track:6I6NX6tjGsxFAsIfGzY9lJ
November 19,"""Fake Love""[A][E]",Drake,8,February 18,6,2017,spotify:track:1cwDVkRVdYb0rTrQOjDATh
January 28,"""Castle on the Hill""",Ed Sheeran,6,January 28,1,2017,spotify:track:6PCUP3dWmTjcTtXY02oFdT
February 11,"""Scars to Your Beautiful""",Alessia Cara,8,February 25,3,2017,spotify:track:0wI7QkCcs8FUQE1OkXUIqd
February 25,"""Million Reasons""",Lady Gaga,4,February 25,1,2017,spotify:track:7dZ1Odmx9jWIweQSatnRqo
February 25,"""Bounce Back""",Big Sean,6,February 25,5,2017,spotify:track:0SGkqnVQo9KPytSri1H6cF
March 4,"""Thats What I Like"" #3",Bruno Mars,1,May 13,28,2017,spotify:track:3S09ZENdIODy5iAr980g1f
March 4,"""Love on the Brain""",Rihanna,5,March 25,5,2017,spotify:track:5oO3drDxtziYU2H1X23ZIp
March 18,"""Tunnel Vision""",Kodak Black,6,March 25,6,2017,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4
April 8,"""Passionfruit""",Drake,8,April 8,2,2017,spotify:track:5mCPDVBb16L4XQwDdbRUpz
April 29,"""Sign of the Times""",Harry Styles,4,April 29,1,2017,spotify:track:5Ohxk2dO5COHF1krpoPigN
April 29,"""Mask Off""",Future,5,May 6,12,2017,spotify:track:0VgkVdmE4gld66l8iyGjgx
April 29,"""XO Tour Llif3""",Lil Uzi Vert,7,June 24,10,2017,spotify:track:7GX5flRQZVHRAGd6B4TmDO
May 6,"""DNA""",Kendrick Lamar,4,May 6,2,2017,spotify:track:6HZILIRieu8S0iqY8kIKhj
June 3,"""Malibu""",Miley Cyrus,10,June 3,1,2017,spotify:track:1UZOjK1BwmwWU14Erba9CZ
July 29,"""Theres Nothing Holdin Me Back""",Shawn Mendes,6,August 26,10,2017,spotify:track:7JJmb5XwzOO8jgpou264Ml
August 5,"""Attention""",Charlie Puth,5,August 26,10,2017,spotify:track:5cF0dROlMOK5uNZtivgu50
August 26,"""Bodak Yellow""",Cardi B,1,October 7,20,2017,spotify:track:6KBYefIoo7KydImq1uUQlL
September 16,"""Look What You Made Me Do""",Taylor Swift,1,September 16,8,2017,spotify:track:1P17dC1amhFzptugyAO7Il
September 23,"""Ready for It?""",Taylor Swift,4,September 23,1,2017,spotify:track:2yLa0QULdQr0qAIvVwN6B5
September 30,"""Too Good at Goodbyes""[P]",Sam Smith,4,November 25,16,2017,spotify:track:3Sr1EFb6rnniNq5Em47uLM
October 7,"""Feel It Still""",Portugal. The Man,4,November 4,11,2017,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK
October 14,"""Sorry Not Sorry""[S]",Demi Lovato,6,November 11,7,2017,spotify:track:0yvPEnB032fojLfVluFjUv
October 21,"""Thunder""",Imagine Dragons,4,December 2,18,2017,spotify:track:1zB4vmk8tFRmM9UULNzbLB
November 18,"""Gucci Gang""[R]",Lil Pump,3,December 2,9,2017,spotify:track:6G5lqfhpv3r7APkQF1k9u1
December 23,"""Bad at Love""",Halsey,5,January 27,10,2018,spotify:track:7y9iMe8SOB6z3NoHE2OfXl
January 20,"""Filthy""",Justin Timberlake,9,January 20,1,2018,spotify:track:5ZpjODX6OH1xZs3AOewTO6
January 27,"""New Rules""",Dua Lipa,6,February 17,5,2018,spotify:track:2ekn2ttSfGqwhhate0LSR0
February 3,"""Diplomatic Immunity""",Drake,7,February 3,1,2018,spotify:track:4haJoBPbPj9QFKNpp9e8kx
February 17,"""Stir Fry""[D]",Migos,8,February 17,4,2018,spotify:track:5PSybqdu9rFvZd6DwHCZ0w
February 24,"""All the Stars""[E]",Kendrick Lamar and SZA,7,March 3,4,2018,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s
April 14,"""Call Out My Name""",The Weeknd,4,April 14,1,2018,spotify:track:09mEdoA6zrmBPgTEN5qXmN
April 21,"""Nice for What""",Drake,1,April 21,17,2018,spotify:track:3CA9pLiwRIGtUBiMjbZmRw
April 28,"""Chun-Li""",Nicki Minaj,10,April 28,1,2018,spotify:track:1e4rwBPVI32vZtTJu7mJ4J
May 5,"""ATM""",J. Cole,6,May 5,1,2018,spotify:track:2UciqgwVDwro0fev3MFbxJ
May 5,"""KOD""",J. Cole,10,May 5,1,2018,spotify:track:7yotKA30dwTKNEGomV9ZsI
May 12,"""Never Be the Same""",Camila Cabello,6,May 12,3,2018,spotify:track:4eWQlBRaTjPPUlzacqEeoQ
May 12,"""Better Now""[N]",Post Malone,3,October 6,19,2018,spotify:track:7dt6x5M1jzdTEt8oCbisTK
May 19,"""This Is America""",Childish Gambino,1,May 19,5,2018,spotify:track:0b9oOr2ZgvyQu88wzixux9
June 2,"""Bood Up""[M]",Ella Mai,5,July 21,12,2018,spotify:track:0At2qAoaVjIwWNAqrscXli
June 2,"""Fake Love""",BTS,10,June 2,1,2018,spotify:track:6m1TWFMeon7ai9XLOzdbiR
June 16,"""Yikes""",Kanye West,8,June 16,1,2018,spotify:track:1qsHYUd2c1wFGcn7e63QmG
June 16,"""Lucid Dreams""[M]",Juice Wrld,2,October 6,26,2018,spotify:track:2Vs1v6UQy5z4X9eIldv6MS
July 14,"""Nonstop""",Drake,2,July 14,1,2018,spotify:track:0TlLq3lA83rQOYtrqBqSct
July 14,"""Im Upset""",Drake,7,July 14,1,2018,spotify:track:3qN5qMTKyEEmiTZD38BNTT
July 14,"""Emotionless""",Drake,8,July 14,1,2018,spotify:track:5Psnhdkyanjpgc2P8A5TSM
August 18,"""Sicko Mode""",Travis Scott,1,December 8,32,2018,spotify:track:2xLMifQCjDGFmkHkpNLD9h
August 18,"""Stargazing""",Travis Scott,8,August 18,1,2018,spotify:track:7wBJfHzpfI3032CSD7CE2m
September 1,"""God Is a Woman""",Ariana Grande,8,September 1,2,2018,spotify:track:5OCJzvD7sykQEKHH7qAC3C
September 15,"""The Ringer""",Eminem,8,September 15,1,2018,spotify:track:2jt2WxXMCD4zjACthkJQVE
September 22,"""I Love It""",Kanye West and Lil Pump,6,September 22,3,2018,spotify:track:4S8d14HvHb70ImctNgVzQQ
September 29,"""Killshot""",Eminem,3,September 29,2,2018,spotify:track:1jo3TwNGCXfNdB5uba3ZVv
September 29,"""Youngblood""",5 Seconds of Summer,7,October 20,7,2018,spotify:track:2iUXsYOEPhVqEBwsqP70rE
October 13,"""Uproar""",Lil Wayne,7,October 13,1,2018,spotify:track:3wScL5W8H40zzCKN0atfBk
October 20,"""Drip Too Hard""",Lil Baby and Gunna,4,October 20,15,2018,spotify:track:78QR3Wp35dqAhFEc2qAGjE
November 10,"""Mo Bamba""",Sheck Wes,6,December 8,6,2018,spotify:track:1xzBco0xcoJEDXktl7Jxrr
November 17,"""Thank U, Next""",Ariana Grande,1,November 17,17,2018,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ
October 20,"""Shallow""[C]",Lady Gaga and Bradley Cooper,1,March 9,7,2019,spotify:track:2VxeLyX666F8uXCJ0dZF8B
November 24,"""High Hopes""",Panic! at the Disco,4,January 26,15,2019,spotify:track:1rqqCSm0Qe4I9rUvWncaom
January 19,"""Eastside""[B]","Benny Blanco, Halsey and Khalid",9,January 19,2,2019,spotify:track:7FGq80cy8juXBCD2nrqdWU
February 2,"""7 Rings"" #7",Ariana Grande,1,February 2,16,2019,spotify:track:6ocbgoVGwYJhOv1GgI9NsF
February 23,"""Break Up with Your Girlfriend, Im Bored""",Ariana Grande,2,February 23,2,2019,spotify:track:4kV4N9D1iKVxx1KLvtTpjS
March 9,"""Thotiana""[F]",Blueface,8,April 6,2,2019,spotify:track:5GBuCHuPKx6UC7VsSPK0t3
March 16,"""Sucker"" #10",Jonas Brothers,1,March 16,22,2019,spotify:track:6faTk1I4bQpCCypzHWJCUR
April 20,"""Better""",Khalid,8,April 20,1,2019,spotify:track:6zeeWid2sgw4lap2jV61PZ
May 25,"""I Dont Care""",Ed Sheeran and Justin Bieber,2,May 25,17,2019,spotify:track:3HVWdVOQ0ZA45FuZGSfvns
June 1,"""Sweet but Psycho""",Ava Max,10,June 1,3,2019,spotify:track:7DnAm9FOTWE3cUvso43HhI
June 8,"""Suge""",DaBaby,7,July 6,7,2019,spotify:track:2gwkD6igEhQbDQegRCcdoB
July 6,"""Señorita""",Shawn Mendes and Camila Cabello,1,August 31,23,2019,spotify:track:5rflUnAlkVJHOrqeD7D9lR
July 13,"""Truth Hurts""",Lizzo,1,September 7,22,2019,spotify:track:3HWzoMvoF3TQfYg4UPszDq
August 10,"""Ransom""",Lil Tecca,4,September 14,13,2019,spotify:track:1lOe9qE0vR9zwWQAOk6CoO
September 7,"""Lover""",Taylor Swift,10,September 7,1,2019,spotify:track:1dGr1c8CrMLDpV6mPbImSI
September 14,"""Circles""",Post Malone,1,November 30,39,2019,spotify:track:21jGcNKet2qwijlDFuPiPb
September 21,"""Someone You Loved""",Lewis Capaldi,1,November 2,27,2019,spotify:track:7qEHsqek33rTcFNT9PFqLf
September 28,"""Panini""",Lil Nas X,5,September 28,9,2019,spotify:track:1000nHvUdawXuUHgBod4Wv
October 19,"""Highest in the Room""",Travis Scott,1,October 19,4,2019,spotify:track:3eekarcy7kvN4yt5ZFzltW
October 19,"""10,000 Hours""[S][T]",Dan + Shay and Justin Bieber,4,October 19,14,2019,spotify:track:6tpKWKiK6nwGHcc4CA3wpC
October 26,"""Bandit""",Juice Wrld and YoungBoy Never Broke Again,10,October 26,1,2019,spotify:track:4ut2ympRtiLLrNvxGQs6zd
November 9,"""Lose You to Love Me""",Selena Gomez,1,November 9,10,2019,spotify:track:4l0Mvzj72xxOpRrp6h8nHi
November 9,"""Good as Hell""",Lizzo,3,November 30,11,2019,spotify:track:6KgBpzTuTRPebChN0VTyzV
November 9,"""Follow God""",Kanye West,7,November 9,1,2019,spotify:track:2QpGZOhTCHHiKmpSO9FW4h
November 30,"""Everything I Wanted""",Billie Eilish,8,November 30,8,2019,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
December 7,"""Roxanne""",Arizona Zervas,4,December 28,18,2019,spotify:track:696DnlkuDOXcMAnKlTgXXK
December 14,"""Heartless""",The Weeknd,1,December 14,2,2019,spotify:track:6bnF93Rx87YqUBLSgjiMU8
December 28,"""Futsal Shuffle 2020""",Lil Uzi Vert,5,December 28,1,2019,spotify:track:2Ec33AVlkTTq8BHFgBTdQs
November 16,"""Memories"" #8",Maroon 5,2,January 11,18,2020,spotify:track:0lq10VOOSeq3xjr3ucAlz0
December 21,"""Dance Monkey""[B]",Tones and I,4,February 29,11,2020,spotify:track:2XU0oxnq2qxCpomAAuJY8K
January 11,"""The Box"" #3",Roddy Ricch,1,January 18,25,2020,spotify:track:5IPlEPFCt3TSOp4RqGUp2m
January 18,"""Yummy""",Justin Bieber,2,January 18,2,2020,spotify:track:41L3O37CECZt3N7ziG2z7l
February 29,"""Blinding Lights"" [V] #1",The Weeknd,1,April 4,57,2020,spotify:track:2cDTqtFo6w0WpceOBVLtjk
March 7,"""On""",BTS,4,March 7,1,2020,spotify:track:5FVbvttjEvQ8r2BgUcJgNg
March 14,"""Stupid Love""",Lady Gaga,5,March 14,1,2020,spotify:track:7yBbV2k2S2uhaQc24NF2xt
March 21,"""Baby Pluto""",Lil Uzi Vert,6,March 21,1,2020,spotify:track:7hav1MHURQf5SAoPk0egqh
March 21,"""Lo Mein""",Lil Uzi Vert,8,March 21,1,2020,spotify:track:6CUP2khYzdphXebxVTfPE3
March 21,"""Silly Watch""",Lil Uzi Vert,9,March 21,1,2020,spotify:track:5egD7A5x9AHdVO2fMo3Wbo
April 18,"""Toosie Slide""",Drake,1,April 18,10,2020,spotify:track:127QTOFJsJQp5LbJbu3A1y
May 23,"""Gooba""",6ix9ine,3,May 23,1,2020,spotify:track:1XdbvPWz4lhyRBMz9cBy8b
June 6,"""Rain on Me""",Lady Gaga and Ariana Grande,1,June 6,4,2020,spotify:track:7ju97lgwC2rKQ6wwsf9no9
June 13,"""Roses""",Saint Jhn,4,July 4,13,2020,spotify:track:0zLCBJZSiELJf02ucPP9wb
June 27,"""The Bigger Picture""",Lil Baby,3,June 27,2,2020,spotify:track:44gRhRi2OhEf7moAUj6MD1
July 4,"""Blueberry Faygo""[L]",Lil Mosey,8,July 18,4,2020,spotify:track:22LAwLoDA5b4AaGSkg6bKW
July 11,"""We Paid""",Lil Baby and 42 Dugg,10,July 11,1,2020,spotify:track:5VzYwfpY9MWtmqNZ1YpoWN
July 25,"""Come & Go""",Juice Wrld and Marshmello,2,July 25,2,2020,spotify:track:2Y0wPrPQBrGhoLn14xRYCG
July 25,"""Wishing Well""",Juice Wrld,5,July 25,1,2020,spotify:track:2U5WueTLIK5WJLD7mvDODv
July 25,"""Conversations""",Juice Wrld,7,July 25,1,2020,spotify:track:4K06PO78fW4mnBVenxGNob
August 8,"""Cardigan""",Taylor Swift,1,August 8,2,2020,spotify:track:4R2kfaDFhslZEMJqAFNpdd
August 8,"""The 1""",Taylor Swift,4,August 8,1,2020,spotify:track:0Jlcvv8IykzHaSmj49uNW8
August 15,"""My Future""",Billie Eilish,6,August 15,1,2020,spotify:track:2ygvZOXrIeVL4xZmAWJT2C
August 22,"""Smile""",Juice Wrld and The Weeknd,8,August 22,1,2020,spotify:track:4l6cbvK4AVQUwMcGGFvOUm
August 22,"""Before You Go""[M][O]",Lewis Capaldi,9,September 26,4,2020,spotify:track:1KfxGxqKnk1cziGU1FdxNw
August 29,"""7 Summers""",Morgan Wallen,6,August 29,1,2020,spotify:track:4obHzpwGrjoTuZh2DItEMZ
November 7,"""Positions""",Ariana Grande,1,November 7,17,2020,spotify:track:35mvY5S1H3J2QZyna3TFe0
November 7,"""Forever After All""",Luke Combs,2,November 7,1,2020,spotify:track:6IBcOGPsniK3Pso1wHIhew
November 28,"""Therefore I Am""",Billie Eilish,2,November 28,1,2020,spotify:track:54bFM56PmE4YLRnqpW6Tha
December 5,"""Life Goes On""",BTS,1,December 5,1,2020,spotify:track:5FVbvttjEvQ8r2BgUcJgNg
December 5,"""Monster""",Shawn Mendes and Justin Bieber,8,December 5,1,2020,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1
December 26,"""Willow""",Taylor Swift,1,December 26,1,2020,spotify:track:0lx2cLdOt3piJbcaXIV74f
August 1,"""Go Crazy""[A]",Chris Brown and Young Thug,3,March 6,13,2021,spotify:track:1IIKrJVP1C9N7iPtG6eOsK
January 16,"""Anyone""",Justin Bieber,6,January 16,1,2021,spotify:track:31qCy5ZaophVA81wtlwLc4
January 16,"""Bang!""",AJR,8,January 23,4,2021,spotify:track:5FQPpxOXsvkMN6v18gtpwY
January 23,"""Wasted on You""",Morgan Wallen,9,January 23,1,2021,spotify:track:3cBsEDNhFI9E82vPj3kvi3
January 23,"""Good Days""",SZA,9,February 6,3,2021,spotify:track:4PMqSO5qyjpvzhlLI5GnID
February 13,"""Whoopty""",CJ,10,February 13,1,2021,spotify:track:5vGLcdRuSbUhD8ScwsGSdA
February 20,"""Up""",Cardi B,1,March 27,12,2021,spotify:track:1XXimziG1uhM0eDNCZCrUl
February 20,"""What You Know Bout Love""[C][E]",Pop Smoke,9,March 13,4,2021,spotify:track:3iwAUF7ZtQdVkPy6qQrPgX
March 20,"""Whats Next""",Drake,1,March 20,3,2021,spotify:track:3mDFLytDotXo2p0rvfGbkA
April 17,"""Deja Vu""[F]",Olivia Rodrigo,3,June 5,15,2021,spotify:track:3nFhc5MvsnN4Fhl3XA2tjD
April 17,"""Astronaut in the Ocean""[F]",Masked Wolf,6,May 22,11,2021,spotify:track:1NawUUW8GmiRbJ9UkaKGY4
April 24,"""Rapstar""",Polo G,1,April 24,5,2021,spotify:track:18vXApRmJSgQ6wG2ll9AOg
May 15,"""Your Power""",Billie Eilish,10,May 15,1,2021,spotify:track:042Sl6Mn83JHyLEqdK7uI0
May 22,"""Interlude""",J. Cole,8,May 22,1,2021,spotify:track:0Px86mRlxdB3YqpK6KXWlr
May 29,"""Amari""",J. Cole,5,May 29,1,2021,spotify:track:5v2Q2VjK0LOxOW8J9AO4RL
June 5,"""Butter""",BTS,1,June 5,15,2021,spotify:track:6jjYDGxVJsWS0a5wlVF5vS
June 5,"""Traitor""",Olivia Rodrigo,9,June 5,1,2021,spotify:track:5CZ40GBx1sQ9agT82CLQCT
June 19,"""Yonaguni""",Bad Bunny,10,June 19,1,2021,spotify:track:2JPLbjOn0wPCngEot2STUS
July 10,"""Bad Habits""[K]",Ed Sheeran,2,August 28,26,2021,spotify:track:6OvZNs4JjdyebEiIi0jcaR
July 24,"""Permission to Dance""",BTS,1,July 24,3,2021,spotify:track:3XYRV7ZSHqIRDG87DKTtry
August 21,"""Take My Breath""",The Weeknd,6,August 21,1,2021,spotify:track:2vgUijXOTRMnWXDtvgMp2b
September 11,"""Hurricane""",Kanye West,6,September 11,1,2021,spotify:track:6Hfu9sc7jvv6coyy2LlzBF
September 11,"""Fancy Like""[K]",Walker Hayes,3,October 16,11,2021,spotify:track:2GgqnsIe9oNOfXN4YCI2eo
September 11,"""Jail""",Kanye West,10,September 11,1,2021,spotify:track:6d8HN8MqqbqrEUI2bvx0aG
September 18,"""Champagne Poetry""",Drake,4,September 18,1,2021,spotify:track:2HSmyk2qMN8WQjuGhaQgCk
September 18,"""TSU""",Drake,9,September 18,1,2021,spotify:track:4s7QLoImIwmPi9L6dq1nVW
October 30,"""Easy on Me""",Adele,1,October 30,23,2021,spotify:track:0gplL1WMoJ6iYaPgMCL0gX
