entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri
July 10,"""On Fire""",Lloyd Banks,8,July 24,4,2004,spotify:track:0B2ZuTLZnWQ6gz8RlNwBu1
July 31,"""Dip It Low""",Christina Milian,5,August 21,9,2004,spotify:track:4L55p6txv9vuCWhpNnY6eY
August 28,"""Pieces of Me""",Ashlee Simpson,5,September 18,6,2004,spotify:track:7yXibbAYi4to5oQTeO738f
September 11,"""She Will Be Loved""",Maroon 5,5,September 25,11,2004,spotify:track:4llK75pXNWZz6KAho2Gp16
October 2,"""My Happy Ending""",Avril Lavigne,9,October 2,4,2004,spotify:track:6sqNctd7MlJoKDOxPVCAvU
October 9,"""Lose My Breath""",Destiny's Child,3,October 30,14,2004,spotify:track:4dvQg9sD8k9y4qiEURuj8v
October 16,"""Just Lose It""",Eminem,6,October 30,6,2004,spotify:track:0qcjuYtMWhBjXg0Xwt5SzS
October 30,"""Breakaway""[D]",Kelly Clarkson,6,November 20,10,2004,spotify:track:17xAjxyUW68z2BJ5tOQBee
November 27,"""Breathe""",Fabolous,10,November 27,1,2004,spotify:track:7fuoqve1SOEBmhc2PoQTF0
January 1,"""I Dont Want to Be""",Gavin DeGraw,10,January 1,2,2005,spotify:track:4vl2zwXsTmAxgu9iY0g6UK
January 8,"""Disco Inferno""",50 Cent,3,March 26,17,2005,spotify:track:69bHJ9qs5FrUJbKP8xU8uZ
January 22,"""How We Do""",The Game featuring 50 Cent,4,February 19,12,2005,spotify:track:4dvObSfgu2fiKIxcZxTaPs
February 5,"""Bring Em Out""",T.I.,9,February 5,1,2005,spotify:track:3CcvahnsiArpTHYQEWV2Au
March 5,"""Caught Up""",Usher,8,March 26,7,2005,spotify:track:5zdUc1JRCImBYcDWgvFNpE
April 16,"""Lonely""",Akon,4,April 23,7,2005,spotify:track:6ls5ulRydoPE7oWGPGBqFA
April 23,"""1 Thing""",Amerie,8,April 23,3,2005,spotify:track:1mnqraQ8oV8MX92rdOFLWW
April 23,"""Hollaback Girl"" #2",Gwen Stefani,1,May 7,18,2005,spotify:track:4JauPmOQRt5YTYakRhBAnD
April 23,"""Lonely No More""",Rob Thomas,6,May 21,6,2005,spotify:track:4faFAhOflLzhfJECveRwva
May 7,"""Speed of Sound""",Coldplay,8,May 7,2,2005,spotify:track:7clUVcSOtkNWa58Gw5RfD4
May 14,"""Just a Lil Bit""",50 Cent,3,June 18,12,2005,spotify:track:4nva9EpKntUTs6CRSGBCn9
May 14,"""Slow Down""",Bobby Valentino,8,May 21,3,2005,spotify:track:4Ilen0VxPEsVRLpnePji8P
May 14,"""We Belong Together""",Mariah Carey,1,June 4,23,2005,spotify:track:3LmvfNUQtglbTrydsdIqFU
May 28,"""Dont Phunk with My Heart""",The Black Eyed Peas,3,June 25,12,2005,spotify:track:3d6LsiS5epkRx9MQNF3THh
June 4,"""Switch""",Will Smith,7,June 18,5,2005,spotify:track:2bmxx16hNi3W5FGzfFO9xX
